Original,0.1,0.3,0.5
Black(Corrosive and many others),0,0,0
Olive(oli),0.353,0.392,0
Purple(marissa),1.0,0.2,1.0
DarkGrey(Discord),0.192156866,0.200000003,0.219607845
AliceBlue,0.9411764706,0.9725490196,1
AntiqueWhite,0.9803921569,0.9215686275,0.8431372549
Aqua,0,1,1
Aquamarine,0.4980392157,1,0.831372549
Azure,0.9411764706,1,1
Beige,0.9607843137,0.9607843137,0.862745098
Bisque,1,0.8941176471,0.768627451
BlanchedAlmond,1,0.9215686275,0.8039215686
Blue,0,0,1
BlueViolet,0.5411764706,0.168627451,0.8862745098
Brown,0.6470588235,0.1647058824,0.1647058824
BurlyWood,0.8705882353,0.7215686275,0.5294117647
CadetBlue,0.3725490196,0.6196078431,0.6274509804
Chartreuse,0.4980392157,1,0
Chocolate,0.8235294118,0.4117647059,0.1176470588
Coral,1,0.4980392157,0.3137254902
CornflowerBlue,0.3921568627,0.5843137255,0.9294117647
Cornsilk,1,0.9725490196,0.862745098
Crimson,0.862745098,0.07843137255,0.2352941176
Cyan,0,1,1
DarkBlue,0,0,0.5450980392
DarkCyan,0,0.5450980392,0.5450980392
DarkGoldenrod,0.7215686275,0.5254901961,0.0431372549
DarkGray,0.662745098,0.662745098,0.662745098
DarkGreen,0,0.3921568627,0
DarkKhaki,0.7411764706,0.7176470588,0.4196078431
DarkMagenta,0.5450980392,0,0.5450980392
DarkOliveGreen,0.3333333333,0.4196078431,0.1843137255
DarkOrange,1,0.5490196078,0
DarkOrchid,0.6,0.1960784314,0.8
DarkRed,0.5450980392,0,0
DarkSalmon,0.9137254902,0.5882352941,0.4784313725
DarkSeaGreen,0.5607843137,0.737254902,0.5450980392
DarkSlateBlue,0.2823529412,0.2392156863,0.5450980392
DarkSlateGray,0.1843137255,0.3098039216,0.3098039216
DarkTurquoise,0,0.8078431373,0.8196078431
DarkViolet,0.5803921569,0,0.8274509804
DeepPink,1,0.07843137255,0.5764705882
DeepSkyBlue,0,0.7490196078,1
